InspectionID,EquipmentID,TechnicianID,InspectionDate,Result,DeficienciesFound,Notes
87,45,25,2024-09-08,"Pass with Deficiency",3,"Doloremque officia facere veniam adipisci."
88,45,22,2024-08-03,Fail,3,"Perspiciatis veniam fuga quis nemo minus."
89,46,20,2025-12-09,Pass,0,
90,46,5,2024-01-03,Pass,0,
91,47,16,2024-01-10,Pass,0,
92,47,22,2025-07-23,Pass,0,
93,47,23,2025-07-05,"Pass with Deficiency",4,"Et eius vero ad delectus maxime totam blanditiis."
94,48,21,2025-07-05,Pass,0,
95,49,22,2024-05-06,Pass,0,
96,50,13,2025-01-31,"Pass with Deficiency",3,"Provident dolor nostrum possimus voluptatum dicta consequatur."
97,50,6,2024-05-07,"Pass with Deficiency",1,"Iste tempore ipsum assumenda placeat."
98,52,12,2024-01-10,Fail,4,"Pariatur quae mollitia enim error culpa quae praesentium."
99,52,8,2025-11-27,"Pass with Deficiency",3,"Recusandae magni commodi dicta consequuntur ratione."
100,53,12,2026-04-15,Pass,0,
101,53,20,2026-04-07,Pass,0,
102,53,23,2025-05-20,Pass,0,
103,54,2,2025-12-21,Pass,0,
104,54,23,2024-01-08,Pass,0,
105,55,21,2026-06-09,Pass,0,
106,57,19,2024-06-23,Pass,0,
107,57,18,2026-01-26,Pass,0,
108,58,22,2025-08-01,Pass,0,
109,58,6,2024-05-11,Pass,0,
110,58,24,2024-09-22,Pass,0,
111,59,8,2024-07-15,"Pass with Deficiency",3,"Facere nemo iusto voluptatem consectetur."
112,59,22,2025-12-10,Pass,0,
113,59,22,2024-09-15,Pass,0,
114,60,18,2025-03-13,"Pass with Deficiency",1,"Aperiam id quaerat laboriosam illum."
115,60,21,2025-10-27,Pass,0,
116,60,2,2025-03-18,"Pass with Deficiency",3,"Reprehenderit asperiores voluptas odit ipsum perspiciatis exercitationem soluta."
117,61,9,2025-06-14,Pass,0,
118,61,15,2025-06-13,Pass,0,
119,62,24,2024-10-11,Pass,0,
120,63,18,2024-01-06,Pass,0,
121,63,13,2024-03-24,Pass,0,
122,64,1,2025-12-07,Fail,2,"Odit delectus vitae inventore tenetur animi commodi corrupti cum eum."
123,64,14,2024-07-20,Fail,2,"Exercitationem velit tempora sapiente dolorum odio mollitia."
124,64,6,2024-03-05,Pass,0,
125,65,21,2025-05-06,Pass,0,
126,65,14,2026-05-10,"Pass with Deficiency",3,"Numquam nostrum atque odit nihil neque."
127,65,9,2025-04-29,Pass,0,
128,66,11,2025-06-16,"Pass with Deficiency",3,"Omnis quam non sapiente natus repudiandae."
129,67,3,2026-02-21,"Pass with Deficiency",4,"Aspernatur veniam quo eaque distinctio."
130,68,21,2024-05-07,Pass,0,
131,69,2,2024-11-16,"Pass with Deficiency",4,"Impedit odit libero occaecati enim vero laboriosam rem placeat error."
132,70,3,2026-04-01,"Pass with Deficiency",1,"Porro culpa impedit iure excepturi."
133,70,15,2025-09-17,Pass,0,
134,70,21,2024-04-14,Pass,0,
135,71,2,2024-10-28,Pass,0,
136,71,13,2025-09-24,Pass,0,
137,71,25,2026-06-04,Pass,0,
138,73,22,2025-04-09,Pass,0,
139,73,13,2025-03-14,Pass,0,
140,73,20,2024-12-13,Pass,0,
141,74,22,2025-06-13,"Pass with Deficiency",4,"Est quaerat quasi similique voluptate consectetur."
142,74,11,2024-04-20,Pass,0,
143,74,4,2025-12-31,Pass,0,
144,75,19,2025-08-09,"Pass with Deficiency",2,"Maiores autem dolores commodi ipsum consequuntur amet veniam."
145,76,21,2024-12-29,Pass,0,
146,77,16,2024-07-09,"Pass with Deficiency",4,"In vitae temporibus repellendus ut quam deleniti cum voluptatum iure soluta."
147,77,8,2024-02-15,Pass,0,
148,78,5,2025-03-22,Pass,0,
149,79,21,2025-08-20,"Pass with Deficiency",3,"Ad veniam magnam vitae dolor explicabo amet libero sunt."
150,79,18,2025-04-25,"Pass with Deficiency",2,"Enim ab autem consequatur eaque facilis illo aliquid amet."
151,79,10,2024-10-25,Pass,0,
152,80,1,2025-11-04,Pass,0,
153,80,22,2024-08-31,Pass,0,
154,82,18,2024-12-18,"Pass with Deficiency",4,"Deserunt mollitia asperiores magnam quisquam eius voluptatibus perspiciatis blanditiis voluptate."
155,82,7,2026-03-15,Fail,2,"Fuga voluptates nam facilis corporis nobis illo aliquam."
156,82,3,2025-11-14,Pass,0,
157,83,23,2025-04-23,Pass,0,
158,83,20,2026-05-22,Pass,0,
159,84,19,2025-03-04,Fail,3,"Consequatur ex labore itaque non."
160,84,11,2025-04-10,Pass,0,
161,84,2,2024-01-04,Pass,0,
162,85,8,2025-04-22,Pass,0,
163,85,20,2025-05-07,Pass,0,
164,85,24,2026-04-06,"Pass with Deficiency",3,"Consequuntur ut et hic nulla sapiente nisi magni magni laudantium."
165,86,13,2024-07-07,Pass,0,
166,86,1,2024-03-16,Pass,0,
167,86,12,2024-04-27,Pass,0,
168,87,10,2025-10-08,Pass,0,
169,88,25,2024-01-31,Pass,0,
170,88,7,2024-06-27,Pass,0,
171,88,8,2024-12-13,"Pass with Deficiency",2,"Error repellendus fuga perferendis voluptatem nesciunt reiciendis quas porro ad."
172,89,8,2024-01-23,Pass,0,
173,89,6,2024-01-22,"Pass with Deficiency",1,"Eaque omnis voluptas neque dolorem amet laboriosam minima quam."
174,89,22,2025-11-01,Pass,0,
175,90,11,2025-04-12,Fail,3,"Corporis perspiciatis adipisci veniam beatae accusantium et corrupti."
176,91,12,2025-06-23,"Pass with Deficiency",2,"Illum quod ullam sit quasi aperiam."
177,92,14,2024-05-01,"Pass with Deficiency",1,"Maxime natus voluptatum laboriosam fugiat vero."
178,92,5,2026-03-24,"Pass with Deficiency",2,"Totam exercitationem explicabo quo quam officia possimus nostrum deleniti."
179,92,7,2025-01-22,Pass,0,
180,93,12,2025-03-15,Pass,0,
181,93,21,2024-02-17,Pass,0,
182,93,25,2024-07-12,Pass,0,
183,94,10,2024-09-10,"Pass with Deficiency",3,"Eius error velit voluptatem quo provident porro."
184,94,2,2024-10-13,Pass,0,
185,94,5,2024-08-02,"Pass with Deficiency",4,"Et expedita ut recusandae earum commodi perspiciatis fugit voluptatem."
186,95,3,2024-06-20,"Pass with Deficiency",1,"Veritatis rem enim enim quae expedita ipsam ducimus."
187,95,17,2026-06-22,Pass,0,
188,95,21,2025-05-25,"Pass with Deficiency",3,"Distinctio repudiandae earum natus earum autem qui dolores amet."
189,96,15,2025-12-30,Pass,0,
190,96,12,2025-05-09,Pass,0,
191,96,23,2024-10-01,Fail,4,"Dolorem doloremque aut ex iusto perspiciatis consequuntur vitae voluptate culpa."
192,97,13,2026-03-20,Pass,0,
193,97,19,2024-07-31,Pass,0,
194,97,8,2026-06-02,"Pass with Deficiency",4,"Labore dicta vitae eum officia tenetur at nemo modi."
195,98,13,2025-03-11,Pass,0,
196,99,19,2026-05-12,Pass,0,
197,99,12,2024-03-27,Pass,0,
198,100,25,2025-03-31,Pass,0,
199,101,12,2024-02-12,Pass,0,
200,101,15,2024-12-10,Pass,0,
201,101,14,2025-03-18,Pass,0,
202,102,12,2024-10-06,"Pass with Deficiency",3,"Totam cupiditate sunt cupiditate ullam."
203,102,13,2025-03-28,Pass,0,
204,103,9,2025-01-02,Pass,0,
205,104,10,2026-03-15,"Pass with Deficiency",1,"Ratione delectus quibusdam sit enim alias error nobis."
206,105,8,2024-03-14,Pass,0,
207,105,12,2024-07-24,Pass,0,
208,106,7,2024-09-13,Pass,0,
209,106,10,2024-07-14,"Pass with Deficiency",3,"Eligendi voluptatibus molestiae laudantium vel sed iusto deserunt."
210,107,20,2024-01-09,Fail,3,"Ex quasi officia quaerat accusamus."
211,107,25,2026-04-22,Pass,0,
212,107,12,2025-02-19,"Pass with Deficiency",4,"Ratione necessitatibus quidem cupiditate sequi tempore repudiandae maiores."
213,108,25,2025-04-28,Pass,0,
214,108,21,2026-02-18,Pass,0,
215,108,5,2024-08-20,"Pass with Deficiency",2,"Id atque voluptatem labore vel."
216,109,24,2024-08-27,Pass,0,
217,109,17,2025-07-19,Pass,0,
218,109,25,2026-04-13,Pass,0,
219,110,11,2026-05-16,"Pass with Deficiency",3,"Ea doloremque quidem veritatis."
220,110,7,2025-12-15,Pass,0,
221,112,7,2026-05-23,Pass,0,
222,112,18,2024-05-22,Pass,0,
223,113,5,2026-01-25,Pass,0,
224,113,1,2025-11-05,Pass,0,
225,113,12,2025-03-05,Pass,0,
226,114,22,2024-11-29,"Pass with Deficiency",3,"Nesciunt nemo ea facere dolores pariatur iure."
227,114,19,2026-03-15,Pass,0,
228,115,5,2024-12-04,Pass,0,
229,116,21,2025-01-25,"Pass with Deficiency",4,"Illo magnam tempora provident est blanditiis."
230,116,7,2025-07-01,Fail,1,"Facilis dolore vero laboriosam iste voluptates fuga."
231,116,13,2024-04-21,Pass,0,
232,117,19,2024-04-05,Fail,3,"Totam quidem reiciendis repudiandae quis perspiciatis nisi ratione minima minus."
233,117,6,2025-07-20,Pass,0,
234,118,2,2024-01-28,"Pass with Deficiency",4,"Aspernatur natus aperiam molestias magnam nemo corrupti eveniet."
235,121,7,2025-01-30,Pass,0,
236,122,7,2025-11-06,Pass,0,
237,122,17,2024-02-28,Pass,0,
238,123,17,2024-11-30,Pass,0,
239,123,14,2024-04-23,Pass,0,
240,126,18,2026-01-30,Pass,0,
241,127,13,2024-05-13,Fail,2,"Ipsam perspiciatis quaerat laborum tempore ipsum animi consequatur impedit natus."
242,128,10,2025-12-27,Pass,0,
243,129,16,2025-08-11,Pass,0,
244,129,10,2025-05-29,Pass,0,
245,129,23,2024-10-09,Pass,0,
246,130,1,2024-03-06,Fail,4,"Iure rem quam id repellendus quia neque aliquid exercitationem aperiam."
247,131,20,2025-08-05,"Pass with Deficiency",3,"Vel architecto ut adipisci illum."
248,131,16,2025-08-12,Pass,0,
249,132,24,2025-10-23,Pass,0,
250,133,12,2025-02-04,"Pass with Deficiency",3,"Quisquam voluptatem officia in voluptatibus fugit."
251,133,20,2025-03-01,"Pass with Deficiency",2,"Fugiat placeat optio molestiae officiis expedita debitis modi."
252,134,6,2025-04-13,"Pass with Deficiency",4,"Consectetur voluptatem rerum quidem voluptatem iure quaerat incidunt fugit dolorem."
253,135,22,2025-08-05,Pass,0,
254,135,4,2024-02-14,Pass,0,
255,136,6,2025-10-05,Pass,0,
256,137,10,2024-03-09,Pass,0,
257,137,23,2025-05-20,"Pass with Deficiency",2,"Expedita eius vel quam beatae repellat in quisquam sunt."
258,137,14,2025-01-12,Fail,1,"Dolores architecto nisi ipsum."
259,138,25,2026-02-23,Pass,0,
260,139,14,2024-09-15,Pass,0,
261,139,7,2025-04-18,Pass,0,
262,140,3,2025-11-22,Pass,0,
263,142,15,2026-02-02,Pass,0,
264,142,13,2024-02-08,"Pass with Deficiency",4,"Doloribus aliquid ipsa molestiae quidem."
265,142,1,2025-12-27,Pass,0,
266,143,11,2025-04-20,Pass,0,
267,144,15,2025-07-15,Pass,0,
268,144,22,2025-03-24,Pass,0,
269,147,16,2024-06-23,"Pass with Deficiency",2,"Consequuntur voluptatibus doloremque totam nemo."
270,148,20,2024-10-28,Pass,0,
271,149,18,2024-03-20,"Pass with Deficiency",2,"Nisi perferendis eum error corporis optio dolore error aperiam veniam."
272,150,25,2024-10-06,Pass,0,
273,150,5,2024-07-01,Pass,0,
274,150,7,2025-03-28,"Pass with Deficiency",2,"Numquam incidunt libero voluptas velit perferendis."
275,151,2,2025-02-03,"Pass with Deficiency",1,"Eum impedit corrupti fugiat quidem labore sed error provident rem."
276,151,23,2024-02-23,Pass,0,
277,151,20,2026-03-01,Pass,0,
278,152,25,2024-09-12,Pass,0,
279,152,12,2024-04-03,"Pass with Deficiency",2,"Natus voluptas nam consequatur doloribus."
280,153,14,2024-01-15,Pass,0,
281,154,7,2024-03-05,Pass,0,
282,154,8,2026-03-27,Fail,1,"Ex aspernatur ipsum fuga modi repudiandae."
283,155,6,2025-03-01,"Pass with Deficiency",1,"Eaque perferendis nobis sit deleniti."
284,155,17,2024-11-30,Pass,0,
285,155,11,2024-07-13,Pass,0,
286,156,7,2025-03-14,Fail,4,"Quam nam laboriosam sit ex vero accusamus vel vitae blanditiis."
287,156,4,2024-04-18,Pass,0,
288,156,12,2024-01-16,Pass,0,
289,158,21,2025-02-02,Pass,0,
290,158,7,2024-03-08,Pass,0,
291,160,9,2025-01-12,Pass,0,
292,160,2,2024-08-11,Pass,0,
293,160,14,2025-09-05,Pass,0,
294,161,4,2024-09-14,"Pass with Deficiency",2,"Totam possimus provident id dolores eum eligendi iure officiis."
295,161,4,2025-10-08,Pass,0,
296,162,13,2026-02-28,Pass,0,
297,162,23,2024-06-28,Pass,0,
298,162,21,2026-05-21,"Pass with Deficiency",3,"Ea maiores libero atque voluptatem iusto saepe."
299,163,16,2024-01-19,Pass,0,
300,163,20,2025-01-26,"Pass with Deficiency",4,"Fuga impedit natus dolore corporis ea."
301,163,17,2024-08-26,Pass,0,
302,164,19,2024-08-26,"Pass with Deficiency",1,"Neque impedit corrupti ex fugit rerum libero omnis placeat ducimus."
303,164,1,2024-05-07,Pass,0,
304,164,10,2025-03-14,Pass,0,
305,165,20,2024-05-20,Pass,0,
306,166,16,2024-06-04,Pass,0,
307,166,13,2024-02-08,Pass,0,
308,167,24,2025-03-30,Pass,0,
309,168,11,2024-11-21,Pass,0,
310,168,21,2025-06-17,"Pass with Deficiency",1,"Vitae odit laudantium cumque recusandae cumque quam laborum totam."
311,168,14,2024-10-22,Pass,0,
312,169,8,2024-12-16,"Pass with Deficiency",3,"Voluptatibus vero minima saepe asperiores repellendus aliquid ab consequuntur occaecati."
313,171,7,2025-11-11,Pass,0,
314,172,22,2024-08-15,Pass,0,
315,173,13,2024-07-06,Pass,0,
316,173,15,2024-03-07,Pass,0,
317,173,16,2024-07-16,Pass,0,
318,174,21,2024-05-08,Fail,2,"Provident ab magni fuga nulla."
319,175,6,2026-05-01,Pass,0,
320,177,8,2025-03-12,Pass,0,
321,178,15,2026-01-08,Pass,0,
322,178,7,2024-06-29,Pass,0,
323,178,20,2024-10-19,Pass,0,
324,180,15,2024-10-05,Fail,2,"Totam omnis accusamus minus illum accusantium quam modi enim magnam praesentium."
325,180,16,2025-01-03,Pass,0,
326,180,13,2025-04-27,Pass,0,
327,181,14,2026-01-22,Pass,0,
328,181,14,2024-01-21,"Pass with Deficiency",4,"Rem tenetur autem atque corrupti deleniti minima repellendus eaque."
329,182,14,2025-09-01,"Pass with Deficiency",3,"Aspernatur vero itaque doloribus possimus error repudiandae aspernatur."
330,182,18,2026-01-14,Pass,0,
331,183,9,2024-11-09,Pass,0,
332,184,10,2025-09-12,Pass,0,
333,184,16,2024-05-19,Pass,0,
334,185,16,2024-07-13,Pass,0,
335,185,1,2025-05-27,Pass,0,
336,185,24,2025-02-18,"Pass with Deficiency",4,"Atque fugit mollitia animi ab."
337,186,13,2025-01-28,Fail,3,"Assumenda sapiente officia ex voluptate voluptate."
338,186,16,2025-08-25,Pass,0,
339,187,14,2025-01-29,"Pass with Deficiency",1,"Ullam dolorem temporibus porro necessitatibus earum unde placeat eligendi molestiae."
340,188,6,2025-03-22,Pass,0,
341,188,9,2025-06-05,"Pass with Deficiency",3,"Debitis sed accusamus dignissimos corporis."
342,188,23,2025-12-06,Pass,0,
343,189,23,2025-01-29,Pass,0,
344,189,14,2025-05-04,"Pass with Deficiency",2,"Ut error natus necessitatibus sed perspiciatis molestiae fugit."
345,190,12,2025-11-23,Pass,0,
346,191,23,2024-05-31,Pass,0,
347,192,20,2025-11-28,Pass,0,
348,192,5,2025-09-08,Pass,0,
349,193,22,2024-04-29,"Pass with Deficiency",1,"Ratione porro aspernatur quia exercitationem atque."
350,193,25,2025-12-29,Pass,0,
351,193,13,2025-08-23,Pass,0,
352,194,17,2024-06-18,"Pass with Deficiency",4,"Saepe excepturi quisquam veritatis id quo adipisci."
353,195,9,2025-05-27,Pass,0,
354,195,18,2025-01-26,Pass,0,
355,196,10,2024-04-21,"Pass with Deficiency",1,"Quos iste dolorem mollitia fugiat delectus nesciunt."
356,196,21,2026-03-27,Pass,0,
357,196,12,2026-02-05,"Pass with Deficiency",3,"Assumenda nulla reiciendis quae aspernatur culpa quae odio."
358,197,24,2024-11-11,Pass,0,
359,198,6,2024-04-09,"Pass with Deficiency",1,"Et autem a est facere earum consequatur deleniti."
360,199,25,2025-06-21,Pass,0,
361,200,21,2025-03-17,Pass,0,
362,200,6,2024-07-09,Pass,0,
363,201,5,2024-07-05,Pass,0,
364,201,17,2025-08-03,Fail,4,"Nam maiores aut at mollitia nisi quos sint accusamus."
365,201,7,2024-03-01,Pass,0,
366,202,6,2024-09-22,"Pass with Deficiency",2,"Harum assumenda temporibus temporibus voluptatem nemo cumque fugit."
367,202,14,2025-10-01,Pass,0,
368,202,4,2024-03-22,"Pass with Deficiency",2,"Eaque eaque corporis cumque eius error."
369,203,3,2024-10-10,Pass,0,
370,203,3,2025-08-22,Pass,0,
371,204,16,2026-02-17,Pass,0,
372,205,1,2026-02-08,Pass,0,
373,206,22,2024-02-12,Pass,0,
374,207,7,2024-01-08,Pass,0,
375,209,20,2026-02-18,Pass,0,
376,209,9,2026-02-14,Fail,4,"Facere velit quam libero nulla."
377,210,20,2025-01-14,Pass,0,
378,210,22,2026-04-16,"Pass with Deficiency",3,"Autem esse veniam ex nulla rem eveniet ex repellendus."
379,211,12,2025-01-22,Pass,0,
380,212,2,2026-04-05,Fail,3,"Consequatur eum veniam dicta et vitae voluptas eos possimus laudantium."
381,212,4,2026-06-10,Pass,0,
382,212,23,2026-05-05,Pass,0,
383,213,1,2026-06-08,Pass,0,
384,214,9,2025-01-12,Fail,2,"Quos eveniet eligendi ratione facilis ut dicta voluptatum debitis quisquam."
385,214,15,2025-11-05,Pass,0,
386,214,16,2025-11-07,Pass,0,
387,215,1,2024-01-18,Fail,3,"Veritatis iure provident ipsa eos."
388,216,12,2025-11-25,"Pass with Deficiency",3,"Reprehenderit recusandae illum libero odio."
389,216,15,2025-05-11,Pass,0,
390,216,13,2024-12-22,"Pass with Deficiency",1,"Dolorum culpa incidunt fugiat ipsum nisi neque."
391,217,16,2026-01-21,Fail,1,"Magni ullam porro molestiae ratione facere tempora modi odit assumenda."
392,217,13,2024-07-18,Pass,0,
393,219,5,2024-05-10,"Pass with Deficiency",1,"Omnis explicabo officia aliquid voluptates perspiciatis id."
394,219,16,2026-05-02,"Pass with Deficiency",3,"Vitae inventore ab ea magni maxime neque nemo."
395,219,22,2024-06-21,Fail,4,"Fugiat iure perspiciatis porro corrupti voluptatum laboriosam eos ullam."
396,220,4,2025-07-07,Pass,0,
397,220,8,2024-06-23,Pass,0,
398,221,23,2025-03-21,Pass,0,
399,221,23,2024-11-30,Pass,0,
400,221,13,2026-01-06,"Pass with Deficiency",2,"Blanditiis velit consequuntur est iste."
401,222,22,2025-11-17,Pass,0,
402,222,4,2025-07-01,Pass,0,
403,224,24,2026-03-25,Pass,0,
404,224,23,2024-08-17,Pass,0,
405,224,19,2025-10-21,"Pass with Deficiency",1,"Maxime expedita atque quam iste architecto."
406,225,13,2025-10-31,"Pass with Deficiency",4,"Repellat beatae sed officia perspiciatis."
407,225,21,2026-04-07,"Pass with Deficiency",4,"Ut qui maiores mollitia ex incidunt."
408,226,8,2024-10-24,Pass,0,
409,227,4,2026-01-28,Pass,0,
410,228,7,2025-08-09,"Pass with Deficiency",1,"Doloremque illo delectus odit inventore adipisci nostrum deserunt nihil."
411,228,12,2024-11-16,Pass,0,
412,228,13,2024-01-02,Pass,0,
413,229,2,2024-07-13,Pass,0,
414,229,13,2026-02-28,Fail,3,"A dolor eius provident recusandae neque reiciendis modi."
415,230,22,2025-06-16,Fail,2,"Eveniet itaque ea similique minus odit nisi nostrum."
416,230,22,2024-08-15,Pass,0,
417,231,13,2026-05-22,Pass,0,
418,232,11,2024-10-30,Pass,0,
419,232,8,2025-04-11,Pass,0,
420,233,20,2026-02-03,Pass,0,
421,234,23,2024-11-23,Pass,0,
422,234,10,2025-12-06,Pass,0,
423,234,4,2026-05-18,Pass,0,
424,235,19,2026-04-28,Pass,0,
425,235,7,2025-12-22,Pass,0,
426,235,13,2026-04-09,Pass,0,
427,236,5,2026-05-18,"Pass with Deficiency",2,"Beatae explicabo itaque cupiditate perferendis reiciendis ullam nihil perferendis est."
428,236,24,2025-12-18,Fail,2,"Esse delectus possimus magni in consequuntur fugit."
429,237,2,2026-05-27,Fail,2,"Laborum modi ullam ut cupiditate cumque."
430,237,16,2026-04-14,"Pass with Deficiency",3,"Consequuntur et iste amet facere ab consequatur."
431,237,22,2024-01-23,"Pass with Deficiency",2,"Vitae magnam libero placeat impedit saepe laborum assumenda."
432,238,13,2025-11-25,Pass,0,
433,238,16,2025-02-04,Fail,4,"Recusandae dolore adipisci dolore enim."
434,238,3,2024-10-16,Pass,0,
435,240,23,2024-04-09,Fail,4,"Natus quo libero magni nemo eaque molestiae voluptatibus molestiae."
436,240,5,2026-03-21,Pass,0,
437,241,2,2025-04-13,"Pass with Deficiency",3,"Quis ipsam dolor incidunt quasi."
438,241,21,2024-05-20,Pass,0,
439,241,15,2024-10-25,Pass,0,
440,242,7,2026-02-05,Pass,0,
441,243,24,2025-01-05,Pass,0,
442,245,19,2026-03-15,Pass,0,
443,245,5,2025-03-13,Pass,0,
444,245,22,2024-04-08,"Pass with Deficiency",1,"Error voluptatum ipsum expedita repellendus ipsa voluptatibus."
445,247,16,2024-02-23,Pass,0,
446,247,4,2025-08-30,Fail,3,"Distinctio qui porro similique nostrum incidunt nulla."
447,248,5,2025-02-17,Pass,0,
448,248,8,2024-09-03,Pass,0,
449,249,16,2025-09-02,Pass,0,
450,249,6,2025-01-19,Pass,0,
451,250,22,2026-03-07,Pass,0,
452,250,15,2024-10-08,"Pass with Deficiency",4,"Repellendus rem necessitatibus minus nisi cumque."
453,250,21,2025-01-11,Pass,0,
454,251,4,2024-05-04,Pass,0,
455,253,21,2025-06-05,Pass,0,
456,253,8,2025-08-09,Pass,0,
457,254,16,2026-02-02,Pass,0,
458,254,4,2025-01-28,"Pass with Deficiency",2,"Enim eaque similique voluptates perspiciatis atque vitae."
459,254,16,2024-11-01,Fail,4,"Ullam voluptatibus sint consectetur sint dolorum quae repudiandae."
460,255,5,2024-03-06,Pass,0,
461,255,23,2025-02-19,"Pass with Deficiency",2,"Laudantium neque eaque impedit iste odio sunt at."
462,255,23,2025-07-23,Pass,0,
463,256,17,2025-06-15,Pass,0,
464,256,19,2026-04-18,Pass,0,
465,256,21,2026-02-10,Pass,0,
466,257,22,2026-06-01,"Pass with Deficiency",2,"Quibusdam possimus soluta iste laborum neque sit sed at voluptas."
467,259,23,2025-07-22,Pass,0,
468,259,15,2024-02-10,"Pass with Deficiency",1,"Sed recusandae id voluptas repudiandae libero eum eligendi."
